#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-121618-000000001,220003491       ,2.4370427490,102.8283266132,7.0619373322,0.00000000,0.00000000,188.2815274153,15.400,-4.238,-0.585,0.120,2021-10-03,04:16:21.000010,1633234581,000010,0000,5A4F,1,1,0.000,GPS-3.0,5,0.265,0.337,0.661,1.028,1.540,0,4,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000002,220003491       ,2.4370156400,102.8283282689,7.0765233040,0.00000000,0.00000000,172.8715687986,14.744,-4.019,0.788,0.191,2021-10-03,04:16:21.700000,1633234581,700000,0000,5A4F,1,1,3.020,GPS-3.0,5,0.262,0.336,0.662,1.088,1.831,0,4,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000003,220003491       ,2.4369900856,102.8283380740,7.0772285461,0.00000000,0.00000000,154.9005214696,15.187,-3.694,2.037,-0.042,2021-10-03,04:16:22.449996,1633234582,449996,0000,5A4F,1,1,3.043,GPS-3.0,5,0.257,0.335,0.662,0.939,1.685,0,4,9,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000004,220003491       ,2.4369682475,102.8283559612,6.9951133728,0.00000000,0.00000000,138.6714729073,14.687,-2.914,2.855,0.009,2021-10-03,04:16:23.200003,1633234583,200003,0000,5A4F,1,1,3.138,GPS-3.0,5,0.254,0.333,0.662,0.976,1.470,0,4,9,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000005,220003491       ,2.4369521034,102.8283790812,6.8578934669,0.00000000,0.00000000,123.5709218600,15.012,-2.105,3.600,-0.054,2021-10-03,04:16:24.000258,1633234584,000258,0000,5A4F,1,1,3.134,GPS-3.0,5,0.255,0.334,0.663,1.082,1.698,0,4,9,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000006,220003491       ,2.4369411508,102.8284050753,6.8111758232,0.00000000,0.00000000,110.0033453003,14.966,-1.753,3.769,-0.084,2021-10-03,04:16:24.800002,1633234584,800002,0000,5A4F,1,1,3.134,GPS-3.0,5,0.256,0.335,0.663,1.166,2.057,0,4,9,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000007,220003491       ,2.4369343332,102.8284330340,6.9020929337,0.00000000,0.00000000,98.7093952812,15.481,-0.848,4.216,-0.031,2021-10-03,04:16:25.549996,1633234585,549996,0000,5A4F,1,1,3.197,GPS-3.0,5,0.260,0.337,0.665,0.939,1.684,0,4,10,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000008,220003491       ,2.4369318396,102.8284611217,6.9711599350,0.00000000,0.00000000,95.5965092462,13.611,-0.670,3.721,0.232,2021-10-03,04:16:26.400128,1633234586,400128,0000,5A4F,1,1,3.133,GPS-3.0,5,0.260,0.337,0.665,1.022,1.684,0,4,10,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000009,220003491       ,2.4369308280,102.8284891223,6.8464708328,0.00000000,0.00000000,92.6139295602,13.867,-0.286,3.841,0.248,2021-10-03,04:16:27.250015,1633234587,250015,0000,5A4F,1,1,3.113,GPS-3.0,5,0.263,0.339,0.667,1.035,1.493,0,4,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000010,220003491       ,2.4369307645,102.8285173131,6.6182365417,0.00000000,0.00000000,90.0942932660,12.981,-0.118,3.604,0.317,2021-10-03,04:16:28.100000,1633234588,100000,0000,5A4F,1,1,3.132,GPS-3.0,5,0.263,0.340,0.668,1.036,1.601,0,4,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000011,220003491       ,2.4369326440,102.8285450229,6.3147730827,0.00000000,0.00000000,87.7429323423,13.902,0.265,3.852,0.378,2021-10-03,04:16:28.900090,1633234588,900090,0000,5A4F,1,1,3.085,GPS-3.0,5,0.264,0.340,0.669,0.869,1.467,0,4,10,4,0,0,0,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000012,220003491       ,2.4369340667,102.8285735225,6.1464490891,0.00000000,0.00000000,88.7552619999,14.889,0.429,4.114,0.353,2021-10-03,04:16:29.699999,1633234589,699999,0000,5A4F,1,1,3.170,GPS-3.0,5,0.265,0.341,0.669,0.869,1.467,0,4,10,4,0,0,0,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000013,220003491       ,2.4369332193,102.8286022534,6.1604390144,0.00000000,0.00000000,89.1399382540,14.203,0.144,3.943,0.306,2021-10-03,04:16:30.449995,1633234590,449995,0000,5A4F,1,1,3.193,GPS-3.0,5,0.265,0.340,0.668,0.869,1.467,0,4,10,4,0,0,0,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000014,220003491       ,2.4369361482,102.8286292415,6.5869941711,0.00000000,0.00000000,82.6663532606,12.534,0.379,3.461,0.144,2021-10-03,04:16:31.200001,1633234591,200001,0000,5A4F,1,1,3.016,GPS-3.0,5,0.256,0.334,0.663,0.809,1.365,0,4,10,4,0,0,0,,,,,,,,,,,0,000000,,,,,
003491-20211003-121618-000000015,220003491       ,2.4369407039,102.8286562514,7.1937551498,0.00000000,0.00000000,79.4458917461,8.376,0.304,2.307,0.069,2021-10-03,04:16:32.200003,1633234592,200003,0000,5A4F,1,1,3.043,GPS-3.0,5,0.238,0.317,0.641,1.022,1.557,0,4,9,4,0,0,0,,,,,,,,,,,0,000000,,,,,
