#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-123828-000000001,220003491       ,2.4437810472,102.8318374571,29.6642341614,0.00000000,0.00000000,202.1105021448,12.778,-3.136,-1.662,0.410,2021-10-03,04:38:29.949996,1633235909,949996,0000,5A4F,1,1,0.000,GPS-3.0,5,0.248,0.265,0.569,1.115,1.638,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000002,220003491       ,2.4437573522,102.8318215049,29.2401142120,0.00000000,0.00000000,212.5882172373,14.695,-3.300,-2.403,0.432,2021-10-03,04:38:30.800001,1633235910,800001,0000,5A4F,1,1,3.175,GPS-3.0,5,0.248,0.262,0.569,0.970,1.358,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000003,220003491       ,2.4437354260,102.8318034272,29.2645606995,0.00000000,0.00000000,219.4896316200,12.938,-2.641,-2.437,0.102,2021-10-03,04:38:31.649995,1633235911,649995,0000,5A4F,1,1,3.159,GPS-3.0,5,0.249,0.261,0.570,1.171,1.367,0,4,11,3,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000004,220003491       ,2.4437123246,102.8317870830,29.2339973450,0.00000000,0.00000000,213.2884618914,11.429,-2.687,-1.690,0.121,2021-10-03,04:38:32.600100,1633235912,600100,0000,5A4F,1,1,3.146,GPS-3.0,5,0.249,0.262,0.571,1.629,2.018,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000005,220003491       ,2.4436853366,102.8317795116,29.1950969696,0.00000000,0.00000000,192.4671083198,10.345,-2.867,-0.195,0.056,2021-10-03,04:38:33.600001,1633235913,600001,0000,5A4F,1,1,3.117,GPS-3.0,5,0.248,0.260,0.571,1.113,1.361,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000006,220003491       ,2.4436586524,102.8317841961,28.8763351440,0.00000000,0.00000000,171.1575191661,4.640,-1.235,0.369,0.093,2021-10-03,04:38:35.000010,1633235915,000010,0000,5A4F,1,1,3.012,GPS-3.0,5,0.242,0.255,0.569,1.100,1.534,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000007,220003491       ,2.4436335347,102.8317944042,30.1333217621,0.00000000,0.00000000,154.8764928641,1.108,-0.276,0.136,-0.006,2021-10-03,04:38:50.549995,1633235930,549995,0000,5A4F,1,1,3.014,GPS-3.0,5,0.222,0.213,0.561,0.942,1.346,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000008,220003491       ,2.4436104010,102.8318087319,30.3555927277,0.00000000,0.00000000,151.2161398464,6.142,-1.480,0.850,-0.184,2021-10-03,04:38:54.200002,1633235934,200002,0000,5A4F,1,1,3.025,GPS-3.0,5,0.214,0.205,0.553,1.366,1.608,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123828-000000009,220003491       ,2.4435826397,102.8318109235,30.2179813385,0.00000000,0.00000000,175.2823933492,10.328,-2.865,-0.147,0.118,2021-10-03,04:38:55.649996,1633235935,649996,0000,5A4F,1,1,3.097,GPS-3.0,5,0.214,0.204,0.553,0.996,1.367,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
