#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-121716-000000001,220003491       ,2.4366699384,102.8281143059,11.9732446671,0.00000000,0.00000000,210.6986454034,10.655,-2.483,-1.611,-0.238,2021-10-03,04:17:18.949996,1633234638,949996,0000,5A4F,1,1,0.000,GPS-3.0,5,0.163,0.229,0.520,0.939,1.454,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000002,220003491       ,2.4366484086,102.8280968702,12.3961467743,0.00000000,0.00000000,219.6491165371,9.161,-1.804,-1.795,-0.213,2021-10-03,04:17:20.000010,1633234640,000010,0000,5A4F,1,1,3.079,GPS-3.0,5,0.162,0.228,0.518,0.939,1.454,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000003,220003491       ,2.4366302952,102.8280763439,12.7351074219,0.00000000,0.00000000,230.2637359413,9.893,-1.537,-2.278,-0.213,2021-10-03,04:17:21.100000,1633234641,100000,0000,5A4F,1,1,3.042,GPS-3.0,5,0.163,0.228,0.517,0.939,1.453,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000004,220003491       ,2.4366213241,102.8280502825,12.9695596695,0.00000000,0.00000000,253.5157762535,9.030,-0.178,-2.502,-0.107,2021-10-03,04:17:22.350023,1633234642,350023,0000,5A4F,1,1,3.062,GPS-3.0,5,0.164,0.229,0.518,0.747,1.322,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000005,220003491       ,2.4366235057,102.8280233301,13.0880222321,0.00000000,0.00000000,274.2241721566,14.233,0.713,-3.889,-0.143,2021-10-03,04:17:23.299999,1633234643,299999,0000,5A4F,1,1,3.004,GPS-3.0,5,0.165,0.228,0.517,0.870,1.458,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000006,220003491       ,2.4366295329,102.8279959971,12.9490108490,0.00000000,0.00000000,281.3774565951,14.395,0.935,-3.888,0.095,2021-10-03,04:17:24.049995,1633234644,049995,0000,5A4F,1,1,3.110,GPS-3.0,5,0.166,0.229,0.518,0.810,1.362,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000007,220003491       ,2.4366352314,102.8279688151,12.8664398193,0.00000000,0.00000000,279.2740315383,14.722,0.858,-3.998,0.019,2021-10-03,04:17:24.800003,1633234644,800003,0000,5A4F,1,1,3.086,GPS-3.0,5,0.167,0.229,0.519,0.939,1.453,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000008,220003491       ,2.4366393658,102.8279416021,12.8745508194,0.00000000,0.00000000,275.4151659025,13.009,0.279,-3.603,0.021,2021-10-03,04:17:25.600010,1633234645,600010,0000,5A4F,1,1,3.058,GPS-3.0,5,0.169,0.230,0.521,1.031,1.626,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000009,220003491       ,2.4366403846,102.8279137669,12.9171390533,0.00000000,0.00000000,269.4321387557,11.569,-0.022,-3.213,0.118,2021-10-03,04:17:26.500065,1633234646,500065,0000,5A4F,1,1,3.094,GPS-3.0,5,0.172,0.232,0.523,0.939,1.453,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000010,220003491       ,2.4366388841,102.8278863575,12.7441234589,0.00000000,0.00000000,270.2603128529,8.848,-0.167,-2.452,0.145,2021-10-03,04:17:27.500000,1633234647,500000,0000,5A4F,1,1,3.050,GPS-3.0,5,0.174,0.234,0.525,0.911,1.551,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000011,220003491       ,2.4366408437,102.8278592846,12.3497972488,0.00000000,0.00000000,280.0623992930,5.705,0.084,-1.583,0.286,2021-10-03,04:17:29.000011,1633234649,000011,0000,5A4F,1,1,3.016,GPS-3.0,5,0.179,0.237,0.529,0.951,1.579,0,4,9,5,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000012,220003491       ,2.4366427786,102.8278323100,12.6777906418,0.00000000,0.00000000,270.2763501371,9.752,0.001,-2.709,-0.090,2021-10-03,04:17:30.900000,1633234650,900000,0000,5A4F,1,1,3.004,GPS-3.0,5,0.181,0.239,0.530,0.810,1.361,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000013,220003491       ,2.4366404793,102.8278044623,12.8649768829,0.00000000,0.00000000,267.5835617172,12.847,-0.119,-3.566,-0.060,2021-10-03,04:17:31.849996,1633234651,849996,0000,5A4F,1,1,3.104,GPS-3.0,5,0.182,0.240,0.531,0.886,1.470,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000014,220003491       ,2.4366402607,102.8277762725,12.5834980011,0.00000000,0.00000000,269.4282045667,13.169,-0.110,-3.656,0.140,2021-10-03,04:17:32.700000,1633234652,700000,0000,5A4F,1,1,3.132,GPS-3.0,5,0.182,0.240,0.532,1.042,1.609,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121716-000000015,220003491       ,2.4366407295,102.8277480605,12.4299364090,0.00000000,0.00000000,270.7858002869,13.640,0.026,-3.789,0.337,2021-10-03,04:17:33.550028,1633234653,550028,0000,5A4F,1,1,3.135,GPS-3.0,5,0.182,0.240,0.532,0.939,1.659,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
