#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-122123-000000001,220003491       ,2.4375392710,102.8285844623,10.1415367126,0.00000000,0.00000000,31.1563791821,8.342,1.893,1.337,-0.180,2021-10-03,04:21:24.549996,1633234884,549996,0000,5A2F,1,1,0.000,GPS-3.0,5,0.290,0.333,0.639,0.915,1.513,0,2,10,4,0,0,1,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000002,220003491       ,2.4375624722,102.8285990708,10.2050409317,0.00000000,0.00000000,31.8040655305,12.443,2.869,1.928,-0.166,2021-10-03,04:21:25.600045,1633234885,600045,0000,5A2F,1,1,3.048,GPS-3.0,5,0.290,0.334,0.639,1.014,1.539,0,2,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000003,220003491       ,2.4375858276,102.8286125943,10.1936941147,0.00000000,0.00000000,31.6320608766,15.364,3.618,2.264,-0.089,2021-10-03,04:21:26.350115,1633234886,350115,0000,5A2F,1,1,3.000,GPS-3.0,5,0.290,0.333,0.639,1.014,1.539,0,2,10,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000004,220003491       ,2.4376093669,102.8286263857,10.2161102295,0.00000000,0.00000000,31.3620976497,17.602,4.149,2.586,-0.067,2021-10-03,04:21:27.000189,1633234887,000189,0000,5A2F,1,1,3.033,GPS-3.0,5,0.290,0.334,0.640,1.087,1.651,0,2,10,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000005,220003491       ,2.4376325884,102.8286406243,10.4078912735,0.00000000,0.00000000,32.1906132564,20.532,4.840,3.017,-0.202,2021-10-03,04:21:27.550045,1633234887,550045,0000,5A2F,1,1,3.028,GPS-3.0,5,0.290,0.334,0.641,2.024,3.215,0,2,10,3,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000006,220003491       ,2.4376567907,102.8286548362,10.6375398636,0.00000000,0.00000000,32.5661131513,23.416,5.523,3.436,-0.297,2021-10-03,04:21:28.049996,1633234888,049996,0000,5A2F,1,1,3.120,GPS-3.0,5,0.290,0.334,0.642,0.875,1.420,0,2,10,3,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000007,220003491       ,2.4376811942,102.8286695970,10.5726175308,0.00000000,0.00000000,32.7001146326,25.787,6.058,3.823,-0.186,2021-10-03,04:21:28.500279,1633234888,500279,0000,5A2F,1,1,3.171,GPS-3.0,5,0.290,0.334,0.642,0.875,1.420,0,2,10,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000008,220003491       ,2.4377064990,102.8286855227,10.5670223236,0.00000000,0.00000000,33.4095356458,26.568,6.191,4.018,-0.100,2021-10-03,04:21:28.950131,1633234888,950131,0000,5A2F,1,1,3.324,GPS-3.0,5,0.290,0.334,0.642,0.875,1.419,0,2,10,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000009,220003491       ,2.4377295608,102.8287012947,10.7541484833,0.00000000,0.00000000,33.3225292811,27.378,6.382,4.136,-0.141,2021-10-03,04:21:29.349996,1633234889,349996,0000,5A2F,1,1,3.106,GPS-3.0,5,0.289,0.334,0.642,0.970,1.686,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000010,220003491       ,2.4377535765,102.8287158152,10.7554960251,0.00000000,0.00000000,31.8183781919,27.865,6.658,3.948,-0.109,2021-10-03,04:21:29.749996,1633234889,749996,0000,5A2F,1,1,3.120,GPS-3.0,5,0.289,0.334,0.642,0.875,1.419,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000011,220003491       ,2.4377788652,102.8287298206,10.9006948471,0.00000000,0.00000000,30.7396625106,28.757,6.995,3.858,-0.173,2021-10-03,04:21:30.150067,1633234890,150067,0000,5A2F,1,1,3.214,GPS-3.0,5,0.289,0.334,0.642,0.915,1.512,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122123-000000012,220003491       ,2.4378045562,102.8287436071,11.0222578049,0.00000000,0.00000000,29.8541558055,29.540,7.185,3.963,-0.176,2021-10-03,04:21:30.549996,1633234890,549996,0000,5A2F,1,1,3.241,GPS-3.0,5,0.289,0.334,0.643,0.939,1.583,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
