#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-122538-000000001,220003491       ,2.4468949747,102.8318896511,10.6136608124,0.00000000,0.00000000,92.4760895126,21.875,-0.231,6.072,-0.440,2021-10-03,04:25:37.849995,1633235137,849995,0000,5A2F,1,1,0.000,GPS-3.0,5,0.239,0.274,0.540,1.055,1.496,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000002,220003491       ,2.4468938120,102.8319185046,11.0423154831,0.00000000,0.00000000,92.2843524422,20.385,-0.272,5.656,-0.599,2021-10-03,04:25:38.400001,1633235138,400001,0000,5A2F,1,1,3.208,GPS-3.0,5,0.239,0.274,0.540,0.943,1.513,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000003,220003491       ,2.4468924871,102.8319472509,11.5055112839,0.00000000,0.00000000,92.6717676021,18.008,-0.303,4.993,-0.712,2021-10-03,04:25:39.000277,1633235139,000277,0000,5A2F,1,1,3.197,GPS-3.0,5,0.239,0.274,0.541,0.894,1.412,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000004,220003491       ,2.4468913895,102.8319751610,12.1144914627,0.00000000,0.00000000,93.0337334772,14.584,-0.059,4.051,-0.771,2021-10-03,04:25:39.699999,1633235139,699999,0000,5A2F,1,1,3.103,GPS-3.0,5,0.240,0.274,0.541,1.031,1.508,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000005,220003491       ,2.4468897298,102.8320031852,12.7430477142,0.00000000,0.00000000,93.2831788159,11.094,-0.202,3.075,-0.629,2021-10-03,04:25:40.600001,1633235140,600001,0000,5A2F,1,1,3.119,GPS-3.0,5,0.240,0.275,0.542,1.032,1.508,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000006,220003491       ,2.4468884529,102.8320304449,13.2135181427,0.00000000,0.00000000,93.4237509392,11.587,-0.094,3.217,-0.531,2021-10-03,04:25:41.700000,1633235141,700000,0000,5A2F,1,1,3.032,GPS-3.0,5,0.240,0.275,0.543,1.032,1.508,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000007,220003491       ,2.4468880959,102.8320579730,13.6297674179,0.00000000,0.00000000,89.6311176478,16.528,0.151,4.589,-0.592,2021-10-03,04:25:42.500000,1633235142,500000,0000,5A2F,1,1,3.058,GPS-3.0,5,0.240,0.275,0.543,1.032,1.508,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000008,220003491       ,2.4468901217,102.8320859736,13.8477706909,0.00000000,0.00000000,83.2070856768,20.290,0.666,5.597,-0.276,2021-10-03,04:25:43.100000,1633235143,100000,0000,5A2F,1,1,3.119,GPS-3.0,5,0.240,0.275,0.544,0.894,1.412,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000009,220003491       ,2.4468955065,102.8321146194,13.8058271408,0.00000000,0.00000000,77.6783002606,21.957,1.318,5.955,-0.015,2021-10-03,04:25:43.649996,1633235143,649996,0000,5A2F,1,1,3.238,GPS-3.0,5,0.240,0.275,0.544,0.836,1.365,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122538-000000010,220003491       ,2.4469025413,102.8321414068,13.7692260742,0.00000000,0.00000000,76.7435274010,22.527,1.630,6.041,0.006,2021-10-03,04:25:44.149997,1633235144,149997,0000,5A2F,1,1,3.077,GPS-3.0,5,0.241,0.275,0.545,0.994,1.447,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
