#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-121520-000000001,220003491       ,2.4373895241,102.8293029778,11.5769081116,0.00000000,0.00000000,244.3958344662,9.121,-1.509,-2.035,0.484,2021-10-03,04:15:23.449995,1633234523,449995,0000,5A2F,1,1,0.000,GPS-3.0,5,0.265,0.304,0.606,0.971,1.812,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000002,220003491       ,2.4373667649,102.8292872606,11.4209203720,0.00000000,0.00000000,216.8093287859,10.404,-2.811,-0.669,0.262,2021-10-03,04:15:24.649995,1633234524,649995,0000,5A2F,1,1,3.075,GPS-3.0,5,0.269,0.308,0.610,0.939,1.706,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000003,220003491       ,2.4373407143,102.8292796027,11.4417457581,0.00000000,0.00000000,200.8841006982,16.966,-4.677,-0.577,0.185,2021-10-03,04:15:25.400003,1633234525,400003,0000,5A2F,1,1,3.019,GPS-3.0,5,0.271,0.310,0.611,0.808,1.369,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000004,220003491       ,2.4373135511,102.8292746572,11.2824449539,0.00000000,0.00000000,198.9760600328,17.277,-4.780,-0.431,0.195,2021-10-03,04:15:26.049996,1633234526,049996,0000,5A2F,1,1,3.070,GPS-3.0,5,0.275,0.313,0.614,0.885,1.484,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000005,220003491       ,2.4372942836,102.8292525183,10.4673738480,0.00000000,0.00000000,196.2461700253,17.366,-4.585,-1.498,0.430,2021-10-03,04:15:26.600002,1633234526,600002,0000,5A2F,1,1,3.262,GPS-3.0,5,0.274,0.313,0.615,0.925,1.565,0,2,9,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000006,220003491       ,2.4372668088,102.8292430661,10.3408803940,0.00000000,0.00000000,193.4288672569,18.106,-4.882,-1.208,0.438,2021-10-03,04:15:27.249996,1633234527,249996,0000,5A2F,1,1,3.230,GPS-3.0,5,0.274,0.313,0.615,1.114,2.138,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000007,220003491       ,2.4372395515,102.8292374308,10.2530689240,0.00000000,0.00000000,191.8630873708,19.089,-5.156,-1.239,0.258,2021-10-03,04:15:27.849996,1633234527,849996,0000,5A2F,1,1,3.095,GPS-3.0,5,0.275,0.313,0.615,1.026,1.544,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000008,220003491       ,2.4372116021,102.8292332190,10.3083782196,0.00000000,0.00000000,190.7995176340,18.147,-5.014,-0.516,0.094,2021-10-03,04:15:28.450011,1633234528,450011,0000,5A2F,1,1,3.143,GPS-3.0,5,0.275,0.314,0.616,0.955,1.598,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000009,220003491       ,2.4371844079,102.8292288996,10.3523178101,0.00000000,0.00000000,192.3109565350,17.042,-4.725,-0.291,0.116,2021-10-03,04:15:29.049996,1633234529,049996,0000,5A2F,1,1,3.062,GPS-3.0,5,0.277,0.315,0.618,0.939,1.705,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000010,220003491       ,2.4371572480,102.8292247521,10.4084968567,0.00000000,0.00000000,191.7651424581,16.080,-4.417,-0.665,-0.093,2021-10-03,04:15:29.700000,1633234529,700000,0000,5A2F,1,1,3.055,GPS-3.0,5,0.279,0.318,0.621,1.922,4.416,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000011,220003491       ,2.4371303888,102.8292198148,10.4241151810,0.00000000,0.00000000,192.1173889740,14.782,-4.056,-0.639,-0.027,2021-10-03,04:15:30.349996,1633234530,349996,0000,5A2F,1,1,3.037,GPS-3.0,5,0.281,0.319,0.622,0.930,1.703,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-121520-000000012,220003491       ,2.4371027656,102.8292142723,10.6782846451,0.00000000,0.00000000,191.9171414879,12.223,-3.350,-0.555,-0.025,2021-10-03,04:15:31.100000,1633234531,100000,0000,5A2F,1,1,3.133,GPS-3.0,5,0.281,0.319,0.623,0.885,1.483,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
