#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-123037-000000001,220003491       ,2.4468842252,102.8330542908,15.8842744827,0.00000000,0.00000000,279.8565100707,11.632,0.621,-3.171,0.028,2021-10-03,04:30:37.600002,1633235437,600002,0000,5A4F,1,1,0.000,GPS-3.0,5,0.239,0.241,0.504,1.095,1.908,0,4,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000002,220003491       ,2.4468889230,102.8330266508,15.7312078476,0.00000000,0.00000000,277.7157648603,11.747,0.412,-3.237,0.125,2021-10-03,04:30:38.500008,1633235438,500008,0000,5A4F,1,1,3.115,GPS-3.0,5,0.244,0.245,0.508,1.575,2.461,0,4,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000003,220003491       ,2.4468891632,102.8329986814,15.2848892212,0.00000000,0.00000000,275.4879483983,11.790,0.073,-3.274,0.309,2021-10-03,04:30:39.200000,1633235439,200000,0000,5A4F,1,1,3.107,GPS-3.0,5,0.244,0.246,0.509,1.180,2.020,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000004,220003491       ,2.4468903788,102.8329702912,15.1753749847,0.00000000,0.00000000,265.3178786864,10.599,-0.412,-2.915,0.223,2021-10-03,04:30:40.150096,1633235440,150096,0000,5A4F,1,1,3.157,GPS-3.0,5,0.244,0.245,0.509,1.155,1.697,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000005,220003491       ,2.4468794941,102.8329455646,15.1563739777,0.00000000,0.00000000,243.3869608842,6.824,-0.757,-1.738,0.058,2021-10-03,04:30:41.249995,1633235441,249995,0000,5A4F,1,1,3.002,GPS-3.0,5,0.245,0.246,0.509,0.872,1.515,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000006,220003491       ,2.4468601468,102.8329262741,15.2771997452,0.00000000,0.00000000,214.0263135670,7.829,-1.705,-1.350,0.299,2021-10-03,04:30:42.750106,1633235442,750106,0000,5A4F,1,1,3.037,GPS-3.0,5,0.247,0.247,0.511,0.957,1.557,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000007,220003491       ,2.4468347779,102.8329164471,15.3668212891,0.00000000,0.00000000,188.6348531011,13.454,-3.640,-0.846,-0.088,2021-10-03,04:30:43.800003,1633235443,800003,0000,5A4F,1,1,3.025,GPS-3.0,5,0.249,0.250,0.514,0.837,1.483,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000008,220003491       ,2.4468072418,102.8329196665,15.4849987030,0.00000000,0.00000000,176.9763485653,14.551,-4.038,0.170,-0.037,2021-10-03,04:30:44.649996,1633235444,649996,0000,5A4F,1,1,3.083,GPS-3.0,5,0.242,0.243,0.513,0.997,1.587,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000009,220003491       ,2.4467801487,102.8329222269,15.5916643143,0.00000000,0.00000000,176.5309655899,15.395,-4.223,0.675,-0.189,2021-10-03,04:30:45.350105,1633235445,350105,0000,5A4F,1,1,3.026,GPS-3.0,5,0.240,0.240,0.511,1.026,1.695,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000010,220003491       ,2.4467530634,102.8329245532,15.8934335709,0.00000000,0.00000000,177.4040686715,15.088,-4.085,0.936,-0.353,2021-10-03,04:30:46.049996,1633235446,049996,0000,5A4F,1,1,3.023,GPS-3.0,5,0.239,0.239,0.509,0.801,1.422,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000011,220003491       ,2.4467257510,102.8329259554,16.2577285767,0.00000000,0.00000000,178.2545638269,17.185,-4.773,0.029,-0.603,2021-10-03,04:30:46.750183,1633235446,750183,0000,5A4F,1,1,3.041,GPS-3.0,5,0.237,0.237,0.508,0.801,1.422,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000012,220003491       ,2.4466967110,102.8329253420,16.4615077972,0.00000000,0.00000000,180.3834518290,17.616,-4.891,-0.149,-0.109,2021-10-03,04:30:47.449996,1633235447,449996,0000,5A4F,1,1,3.230,GPS-3.0,5,0.235,0.235,0.507,0.997,1.587,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000013,220003491       ,2.4466696697,102.8329249530,16.5487308502,0.00000000,0.00000000,181.0576188208,18.287,-5.078,0.121,-0.018,2021-10-03,04:30:48.050184,1633235448,050184,0000,5A4F,1,1,3.007,GPS-3.0,5,0.233,0.234,0.506,0.997,1.587,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000014,220003491       ,2.4466423272,102.8329250076,16.7528381348,0.00000000,0.00000000,181.6409442967,17.750,-4.928,0.163,-0.139,2021-10-03,04:30:48.649996,1633235448,649996,0000,5A4F,1,1,3.040,GPS-3.0,5,0.233,0.234,0.506,0.801,1.422,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000015,220003491       ,2.4466136708,102.8329243225,16.8651618958,0.00000000,0.00000000,181.3209635944,16.206,-4.500,0.131,-0.146,2021-10-03,04:30:49.300000,1633235449,300000,0000,5A4F,1,1,3.187,GPS-3.0,5,0.233,0.234,0.507,1.026,1.695,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000016,220003491       ,2.4465850952,102.8329230834,17.1208324432,0.00000000,0.00000000,180.7099075505,15.708,-4.336,-0.484,-0.365,2021-10-03,04:30:50.000202,1633235450,000202,0000,5A4F,1,1,3.180,GPS-3.0,5,0.233,0.234,0.507,0.997,1.587,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123037-000000017,220003491       ,2.4465571689,102.8329218701,17.5249309540,0.00000000,0.00000000,182.7769003783,17.543,-4.848,-0.493,-0.919,2021-10-03,04:30:50.700000,1633235450,700000,0000,5A4F,1,1,3.108,GPS-3.0,5,0.234,0.234,0.508,0.997,1.587,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
