#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-124053-000000001,220003491       ,2.4393938397,102.8296379143,8.5193023682,0.00000000,0.00000000,211.0382970505,18.290,-4.376,-2.581,0.163,2021-10-03,04:40:53.900001,1633236053,900001,0000,5A2F,1,1,0.000,GPS-3.0,5,0.285,0.290,0.613,1.281,1.495,0,2,8,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000002,220003491       ,2.4393693154,102.8296242464,8.5758094788,0.00000000,0.00000000,210.5632164126,17.079,-4.115,-2.361,0.111,2021-10-03,04:40:54.549996,1633236054,549996,0000,5A2F,1,1,3.121,GPS-3.0,5,0.285,0.290,0.614,1.117,1.433,0,2,9,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000003,220003491       ,2.4393446462,102.8296102078,8.7313175201,0.00000000,0.00000000,208.7245704691,15.623,-3.792,-2.111,0.080,2021-10-03,04:40:55.250144,1633236055,250144,0000,5A2F,1,1,3.155,GPS-3.0,5,0.285,0.290,0.614,1.155,1.758,0,2,9,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000004,220003491       ,2.4393190905,102.8296000002,8.9357681274,0.00000000,0.00000000,201.1363395843,13.241,-3.538,-1.007,0.075,2021-10-03,04:40:56.000233,1633236056,000233,0000,5A2F,1,1,3.060,GPS-3.0,5,0.284,0.291,0.614,0.969,1.326,0,2,9,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000005,220003491       ,2.4392913924,102.8295955065,9.0214681625,0.00000000,0.00000000,187.5595900804,9.679,-2.674,-0.282,0.096,2021-10-03,04:40:56.949996,1633236056,949996,0000,5A2F,1,1,3.120,GPS-3.0,5,0.285,0.292,0.615,1.117,1.432,0,2,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000006,220003491       ,2.4392641540,102.8296009397,8.8057460785,0.00000000,0.00000000,165.9486119993,10.224,-2.688,0.916,0.576,2021-10-03,04:40:58.050039,1633236058,050039,0000,5A2F,1,1,3.088,GPS-3.0,5,0.285,0.293,0.616,1.122,1.554,0,2,11,4,0,0,1,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000007,220003491       ,2.4392408480,102.8296172183,8.4421501160,0.00000000,0.00000000,134.0365475177,12.153,-1.919,2.777,0.509,2021-10-03,04:40:59.050091,1633236059,050091,0000,5A2F,1,1,3.160,GPS-3.0,5,0.288,0.296,0.618,1.559,1.894,0,2,11,4,0,0,1,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000008,220003491       ,2.4392300087,102.8296426941,8.0615673065,0.00000000,0.00000000,106.0750371312,14.722,-1.373,3.852,0.605,2021-10-03,04:40:59.849995,1633236059,849995,0000,5A2F,1,1,3.076,GPS-3.0,5,0.291,0.299,0.620,1.559,1.894,0,2,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000009,220003491       ,2.4392307088,102.8296709322,8.1233148575,0.00000000,0.00000000,94.5807371732,14.837,-0.387,4.103,0.344,2021-10-03,04:41:00.600001,1633236060,600001,0000,5A2F,1,1,3.138,GPS-3.0,5,0.290,0.297,0.620,1.342,1.866,0,2,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000010,220003491       ,2.4392273362,102.8296993470,7.7054777145,0.00000000,0.00000000,103.4277377712,13.686,-0.803,3.716,0.500,2021-10-03,04:41:01.449995,1633236061,449995,0000,5A2F,1,1,3.179,GPS-3.0,5,0.290,0.297,0.620,1.031,1.535,0,2,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000011,220003491       ,2.4392135856,102.8297230247,7.3288516998,0.00000000,0.00000000,130.7464317341,12.034,-2.333,2.394,0.416,2021-10-03,04:41:02.349995,1633236062,349995,0000,5A2F,1,1,3.043,GPS-3.0,5,0.291,0.298,0.621,1.092,1.541,0,2,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000012,220003491       ,2.4391883196,102.8297341962,7.1414175034,0.00000000,0.00000000,160.4716608888,11.962,-3.266,0.611,0.327,2021-10-03,04:41:03.249995,1633236063,249995,0000,5A2F,1,1,3.071,GPS-3.0,5,0.292,0.298,0.621,1.395,1.864,0,2,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-124053-000000013,220003491       ,2.4391611004,102.8297342453,7.0593295097,0.00000000,0.00000000,178.4401673874,9.039,-2.480,-0.392,0.173,2021-10-03,04:41:04.200001,1633236064,200001,0000,5A2F,1,1,3.027,GPS-3.0,5,0.294,0.300,0.623,1.342,1.866,0,2,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
