#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-120322-000000001,220003491       ,2.4338370519,102.8299500923,25.8824520111,0.00000000,0.00000000,7.8397158888,13.597,3.724,0.628,-0.835,2021-10-03,04:03:22.400001,1633233802,400001,0000,5A4F,1,1,0.000,GPS-3.0,5,0.113,0.122,0.323,0.817,1.322,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000002,220003491       ,2.4338647158,102.8299537538,26.4928073883,0.00000000,0.00000000,8.8733386612,8.929,2.469,0.236,-0.552,2021-10-03,04:03:23.350204,1633233803,350204,0000,5A4F,1,1,3.103,GPS-3.0,5,0.114,0.123,0.323,0.817,1.322,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000003,220003491       ,2.4338911905,102.8299594321,27.0015602112,0.00000000,0.00000000,10.3101150568,9.387,2.557,0.511,-0.429,2021-10-03,04:03:24.550162,1633233804,550162,0000,5A4F,1,1,3.011,GPS-3.0,5,0.115,0.124,0.324,0.817,1.322,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000004,220003491       ,2.4339183823,102.8299648548,27.4150409698,0.00000000,0.00000000,11.7071696336,11.408,3.089,0.706,-0.400,2021-10-03,04:03:25.699998,1633233805,699998,0000,5A4F,1,1,3.083,GPS-3.0,5,0.116,0.125,0.324,0.817,1.321,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000005,220003491       ,2.4339459706,102.8299708064,27.6968193054,0.00000000,0.00000000,12.3315138106,14.760,3.981,0.983,-0.359,2021-10-03,04:03:26.549995,1633233806,549995,0000,5A4F,1,1,3.138,GPS-3.0,5,0.118,0.127,0.326,0.817,1.321,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000006,220003491       ,2.4339727694,102.8299767634,27.9587516785,0.00000000,0.00000000,12.3605190627,18.669,4.986,1.427,-0.383,2021-10-03,04:03:27.199998,1633233807,199998,0000,5A4F,1,1,3.052,GPS-3.0,5,0.116,0.126,0.325,0.817,1.321,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000007,220003491       ,2.4339998458,102.8299825879,28.0889625549,0.00000000,0.00000000,11.6942443544,21.619,5.878,1.231,-0.276,2021-10-03,04:03:27.749997,1633233807,749997,0000,5A4F,1,1,3.080,GPS-3.0,5,0.116,0.126,0.325,0.817,1.321,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000008,220003491       ,2.4340280651,102.8299883544,28.2038249969,0.00000000,0.00000000,11.0812280462,24.075,6.575,1.221,-0.224,2021-10-03,04:03:28.250091,1633233808,250091,0000,5A4F,1,1,3.203,GPS-3.0,5,0.116,0.127,0.326,0.817,1.321,0,4,9,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000009,220003491       ,2.4340565823,102.8299934935,28.3274192810,0.00000000,0.00000000,10.2338679476,26.829,7.343,1.273,-0.310,2021-10-03,04:03:28.699999,1633233808,699999,0000,5A4F,1,1,3.222,GPS-3.0,5,0.117,0.127,0.326,0.817,1.320,0,4,9,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000010,220003491       ,2.4340839006,102.8299981310,28.4107017517,0.00000000,0.00000000,9.3718656309,27.576,7.574,1.145,-0.210,2021-10-03,04:03:29.100273,1633233809,100273,0000,5A4F,1,1,3.081,GPS-3.0,5,0.117,0.127,0.327,0.817,1.320,0,4,9,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000011,220003491       ,2.4341119133,102.8300026452,28.5091991425,0.00000000,0.00000000,8.4713675144,28.620,7.867,1.147,-0.232,2021-10-03,04:03:29.499999,1633233809,499999,0000,5A4F,1,1,3.155,GPS-3.0,5,0.117,0.128,0.327,0.817,1.320,0,4,9,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000012,220003491       ,2.4341406994,102.8300066594,28.5877933502,0.00000000,0.00000000,7.5751322896,28.734,7.901,1.128,-0.142,2021-10-03,04:03:29.899999,1633233809,899999,0000,5A4F,1,1,3.232,GPS-3.0,5,0.117,0.128,0.328,0.817,1.320,0,4,9,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-120322-000000013,220003491       ,2.4341696482,102.8300098882,28.6592350006,0.00000000,0.00000000,6.8011092127,28.972,7.993,0.937,-0.151,2021-10-03,04:03:30.300220,1633233810,300220,0000,5A4F,1,1,3.239,GPS-3.0,5,0.117,0.128,0.328,0.891,1.362,0,4,9,5,0,0,4,,,,,,,,,,,0,000000,,,,,
