#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-120913-000000001,220003491       ,2.4348931132,102.8273822098,18.0146484375,0.00000000,0.00000000,69.4331417814,8.593,-0.313,2.366,-0.020,2021-10-03,04:09:17.349996,1633234157,349996,0000,5A4F,1,1,0.000,GPS-3.0,5,0.102,0.147,0.431,0.802,1.269,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000002,220003491       ,2.4348856135,102.8274091746,18.1283149719,0.00000000,0.00000000,101.2273240282,10.284,-1.376,2.503,0.261,2021-10-03,04:09:18.449996,1633234158,449996,0000,5A4F,1,1,3.110,GPS-3.0,5,0.103,0.148,0.429,0.752,1.198,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000003,220003491       ,2.4348728679,102.8274338192,18.2949275970,0.00000000,0.00000000,114.3381180268,14.085,-2.113,3.293,-0.105,2021-10-03,04:09:19.350087,1633234159,350087,0000,5A4F,1,1,3.083,GPS-3.0,5,0.104,0.148,0.429,0.752,1.198,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000004,220003491       ,2.4348612067,102.8274593019,18.4230957031,0.00000000,0.00000000,112.5738050321,15.313,-1.568,3.954,-0.156,2021-10-03,04:09:20.100224,1633234160,100224,0000,5A4F,1,1,3.114,GPS-3.0,5,0.105,0.149,0.429,0.752,1.198,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000005,220003491       ,2.4348532069,102.8274862291,18.5554370880,0.00000000,0.00000000,107.1405261512,14.203,-0.836,3.856,0.026,2021-10-03,04:09:20.850253,1633234160,850253,0000,5A4F,1,1,3.121,GPS-3.0,5,0.105,0.149,0.427,0.844,1.476,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000006,220003491       ,2.4348460114,102.8275130167,18.5680027008,0.00000000,0.00000000,105.0301547920,13.411,-0.807,3.637,0.178,2021-10-03,04:09:21.649996,1633234161,649996,0000,5A4F,1,1,3.082,GPS-3.0,5,0.105,0.149,0.424,0.752,1.198,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000007,220003491       ,2.4348394107,102.8275400896,18.3567085266,0.00000000,0.00000000,102.7260792679,13.911,-0.884,3.762,0.343,2021-10-03,04:09:22.449996,1633234162,449996,0000,5A4F,1,1,3.096,GPS-3.0,5,0.106,0.149,0.422,0.802,1.269,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000008,220003491       ,2.4348335659,102.8275672747,18.0199489594,0.00000000,0.00000000,101.0496776380,11.048,-0.898,2.935,0.503,2021-10-03,04:09:23.350234,1633234163,350234,0000,5A4F,1,1,3.089,GPS-3.0,5,0.107,0.149,0.419,0.752,1.197,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000009,220003491       ,2.4348291971,102.8275942199,17.6231784821,0.00000000,0.00000000,99.4709203925,8.801,-0.416,2.409,0.514,2021-10-03,04:09:24.450106,1633234164,450106,0000,5A4F,1,1,3.033,GPS-3.0,5,0.107,0.148,0.417,0.996,1.403,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000010,220003491       ,2.4348254077,102.8276210194,17.2594795227,0.00000000,0.00000000,97.6921137364,8.905,-0.360,2.447,0.434,2021-10-03,04:09:25.800004,1633234165,800004,0000,5A4F,1,1,3.007,GPS-3.0,5,0.107,0.148,0.414,0.826,1.258,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000011,220003491       ,2.4348216692,102.8276479425,16.8451290131,0.00000000,0.00000000,96.7743548780,8.444,-0.354,2.319,0.375,2021-10-03,04:09:27.050197,1633234167,050197,0000,5A4F,1,1,3.020,GPS-3.0,5,0.107,0.149,0.413,0.997,1.402,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-120913-000000012,220003491       ,2.4348177675,102.8276748147,16.4220275879,0.00000000,0.00000000,96.6667657382,4.898,-0.114,1.356,0.240,2021-10-03,04:09:28.600003,1633234168,600003,0000,5A4F,1,1,3.017,GPS-3.0,5,0.107,0.148,0.409,0.752,1.197,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
