#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-123559-000000001,220003491       ,2.4447816414,102.8299017386,30.6000862122,0.00000000,0.00000000,343.3149507058,8.569,2.312,-0.565,0.132,2021-10-03,04:36:02.400063,1633235762,400063,0000,5A2F,1,1,0.000,GPS-3.0,5,0.241,0.263,0.529,0.796,1.313,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000002,220003491       ,2.4448095654,102.8298974014,30.3844738007,0.00000000,0.00000000,349.6395146320,11.563,3.212,0.040,0.093,2021-10-03,04:36:03.449996,1633235763,449996,0000,5A2F,1,1,3.142,GPS-3.0,5,0.241,0.263,0.529,0.906,1.317,0,2,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000003,220003491       ,2.4448379718,102.8298952740,30.4931316376,0.00000000,0.00000000,354.5387820029,12.890,3.578,-0.145,-0.139,2021-10-03,04:36:04.350060,1633235764,350060,0000,5A2F,1,1,3.167,GPS-3.0,5,0.241,0.263,0.530,1.066,1.422,0,2,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000004,220003491       ,2.4448657168,102.8298925129,30.4721050262,0.00000000,0.00000000,355.6559550643,13.621,3.775,-0.257,0.089,2021-10-03,04:36:05.149996,1633235765,149996,0000,5A2F,1,1,3.100,GPS-3.0,5,0.241,0.263,0.531,0.857,1.314,0,2,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000005,220003491       ,2.4448941425,102.8298891604,30.2988891602,0.00000000,0.00000000,354.9938911676,13.990,3.876,-0.280,0.324,2021-10-03,04:36:05.950024,1633235765,950024,0000,5A2F,1,1,3.183,GPS-3.0,5,0.241,0.263,0.531,0.756,1.244,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000006,220003491       ,2.4449217070,102.8298861840,30.0627136230,0.00000000,0.00000000,353.4808130212,12.997,3.548,-0.668,0.451,2021-10-03,04:36:06.699999,1633235766,699999,0000,5A2F,1,1,3.083,GPS-3.0,5,0.241,0.263,0.531,0.756,1.244,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000007,220003491       ,2.4449500309,102.8298831070,29.6418190002,0.00000000,0.00000000,350.5580657923,12.087,3.318,-0.515,0.667,2021-10-03,04:36:07.549995,1633235767,549995,0000,5A2F,1,1,3.168,GPS-3.0,5,0.241,0.264,0.532,0.878,1.320,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000008,220003491       ,2.4449769505,102.8298776723,29.3472270966,0.00000000,0.00000000,345.9953628230,10.855,2.939,-0.672,0.497,2021-10-03,04:36:08.450225,1633235768,450225,0000,5A2F,1,1,3.054,GPS-3.0,5,0.241,0.264,0.532,0.777,1.247,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000009,220003491       ,2.4450029154,102.8298694772,29.0412502289,0.00000000,0.00000000,340.8638143788,9.617,2.507,-0.924,0.291,2021-10-03,04:36:09.449998,1633235769,449998,0000,5A2F,1,1,3.027,GPS-3.0,5,0.241,0.264,0.532,0.878,1.320,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000010,220003491       ,2.4450273263,102.8298574705,28.7684173584,0.00000000,0.00000000,333.8871039907,7.825,1.981,-0.894,0.333,2021-10-03,04:36:10.699998,1633235770,699998,0000,5A2F,1,1,3.024,GPS-3.0,5,0.242,0.265,0.533,1.128,1.521,0,2,10,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000011,220003491       ,2.4450498031,102.8298413614,28.3297004700,0.00000000,0.00000000,322.3031577999,6.438,1.454,-1.041,0.305,2021-10-03,04:36:12.450036,1633235772,450036,0000,5A2F,1,1,3.074,GPS-3.0,5,0.243,0.266,0.535,0.891,1.520,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000012,220003491       ,2.4450649425,102.8298179952,28.1291866302,0.00000000,0.00000000,302.6125693662,6.801,0.790,-1.716,0.235,2021-10-03,04:36:14.549996,1633235774,549996,0000,5A2F,1,1,3.094,GPS-3.0,5,0.246,0.268,0.538,0.869,1.508,0,2,11,4,0,0,1,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000013,220003491       ,2.4450753908,102.8297920796,27.4475708008,0.00000000,0.00000000,294.4830596500,7.547,0.764,-1.952,0.398,2021-10-03,04:36:16.050088,1633235776,050088,0000,5A2F,1,1,3.105,GPS-3.0,5,0.249,0.270,0.541,0.897,1.351,0,2,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123559-000000014,220003491       ,2.4450863689,102.8297664846,27.2544460297,0.00000000,0.00000000,293.3766236459,6.949,0.939,-1.687,0.241,2021-10-03,04:36:17.550273,1633235777,550273,0000,5A2F,1,1,3.094,GPS-3.0,5,0.250,0.271,0.543,0.758,1.399,0,2,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
