#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-124010-000000001,220003491       ,2.4402301876,102.8301943101,11.3818559647,0.00000000,0.00000000,215.8888241914,20.298,-4.499,-3.399,0.816,2021-10-03,04:40:09.649995,1633236009,649995,0000,5A2F,1,1,0.000,GPS-3.0,5,0.258,0.260,0.573,1.099,1.513,0,2,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000002,220003491       ,2.4402068909,102.8301769782,11.1077299118,0.00000000,0.00000000,216.3727430941,19.004,-4.179,-3.226,0.663,2021-10-03,04:40:10.250220,1633236010,250220,0000,5A2F,1,1,3.228,GPS-3.0,5,0.258,0.260,0.574,1.047,1.423,0,2,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000003,220003491       ,2.4401841809,102.8301598498,10.8459596634,0.00000000,0.00000000,216.5945466572,18.842,-4.233,-3.077,0.656,2021-10-03,04:40:10.849995,1633236010,849995,0000,5A2F,1,1,3.162,GPS-3.0,5,0.259,0.260,0.575,1.047,1.423,0,2,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000004,220003491       ,2.4401606082,102.8301426503,10.4678287506,0.00000000,0.00000000,216.4842527625,17.674,-3.920,-2.956,0.646,2021-10-03,04:40:11.499999,1633236011,499999,0000,5A2F,1,1,3.244,GPS-3.0,5,0.260,0.261,0.575,1.115,1.614,0,2,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000005,220003491       ,2.4401386944,102.8301260728,10.0490217209,0.00000000,0.00000000,218.5597833267,15.590,-3.403,-2.679,0.620,2021-10-03,04:40:12.149996,1633236012,149996,0000,5A2F,1,1,3.054,GPS-3.0,5,0.261,0.262,0.577,1.115,1.614,0,2,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000006,220003491       ,2.4401181089,102.8301079314,9.9462413788,0.00000000,0.00000000,222.6855590949,13.186,-2.660,-2.518,0.401,2021-10-03,04:40:12.900007,1633236012,900007,0000,5A2F,1,1,3.050,GPS-3.0,5,0.261,0.262,0.577,1.624,2.143,0,2,10,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000007,220003491       ,2.4401014365,102.8300864911,9.7076072693,0.00000000,0.00000000,235.6420454598,10.575,-1.113,-2.718,0.430,2021-10-03,04:40:13.800008,1633236013,800008,0000,5A2F,1,1,3.018,GPS-3.0,5,0.263,0.263,0.579,1.298,1.540,0,2,10,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000008,220003491       ,2.4400942501,102.8300596372,9.3284282684,0.00000000,0.00000000,256.4951320902,10.185,-0.456,-2.792,0.284,2021-10-03,04:40:15.000018,1633236015,000018,0000,5A2F,1,1,3.088,GPS-3.0,5,0.265,0.265,0.581,0.841,1.301,0,2,10,3,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000009,220003491       ,2.4400972902,102.8300319963,9.5287351608,0.00000000,0.00000000,276.7804114346,9.962,0.266,-2.754,-0.053,2021-10-03,04:40:16.149995,1633236016,149995,0000,5A2F,1,1,3.089,GPS-3.0,5,0.266,0.266,0.582,0.925,1.345,0,2,10,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000010,220003491       ,2.4401069979,102.8300065869,9.9162235260,0.00000000,0.00000000,289.2240871966,11.912,1.310,-3.038,-0.177,2021-10-03,04:40:17.200117,1633236017,200117,0000,5A2F,1,1,3.022,GPS-3.0,5,0.267,0.267,0.584,1.440,1.510,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000011,220003491       ,2.4401195617,102.8299824801,9.8119411469,0.00000000,0.00000000,298.5427601681,13.531,2.073,-3.135,-0.026,2021-10-03,04:40:18.050262,1633236018,050262,0000,5A2F,1,1,3.021,GPS-3.0,5,0.267,0.267,0.584,1.047,1.422,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000012,220003491       ,2.4401359776,102.8299595060,9.4725990295,0.00000000,0.00000000,309.1338973819,12.577,2.095,-2.796,0.218,2021-10-03,04:40:18.900000,1633236018,900000,0000,5A2F,1,1,3.138,GPS-3.0,5,0.267,0.267,0.585,1.564,1.899,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000013,220003491       ,2.4401537465,102.8299389647,9.2910213470,0.00000000,0.00000000,311.9892989456,12.367,2.199,-2.639,0.227,2021-10-03,04:40:19.749997,1633236019,749997,0000,5A2F,1,1,3.019,GPS-3.0,5,0.267,0.267,0.585,1.067,1.515,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000014,220003491       ,2.4401709557,102.8299180393,9.2782535553,0.00000000,0.00000000,310.4348571735,11.312,2.207,-2.236,0.258,2021-10-03,04:40:20.650016,1633236020,650016,0000,5A2F,1,1,3.011,GPS-3.0,5,0.266,0.267,0.585,1.115,1.612,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-124010-000000015,220003491       ,2.4401884504,102.8298969978,9.3294734955,0.00000000,0.00000000,309.7252551603,6.818,1.052,-1.575,0.080,2021-10-03,04:40:21.900000,1633236021,900000,0000,5A2F,1,1,3.041,GPS-3.0,5,0.265,0.267,0.585,1.067,1.515,0,2,9,4,0,0,4,,,,,,,,,,,0,000000,,,,,
