#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-122919-000000001,220003491       ,2.4468536621,102.8345483724,29.6870441437,0.00000000,0.00000000,276.4951007726,26.126,0.625,-7.230,1.272,2021-10-03,04:29:19.600002,1633235359,600002,0000,5A4F,1,1,0.000,GPS-3.0,5,0.183,0.191,0.428,1.100,1.684,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000002,220003491       ,2.4468565899,102.8345196715,29.2111129761,0.00000000,0.00000000,276.3708732920,24.422,0.597,-6.758,1.099,2021-10-03,04:29:20.049996,1633235360,049996,0000,5A4F,1,1,3.205,GPS-3.0,5,0.184,0.192,0.428,1.100,1.684,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000003,220003491       ,2.4468589984,102.8344901473,28.8471069336,0.00000000,0.00000000,275.8818317474,22.479,0.459,-6.227,0.891,2021-10-03,04:29:20.549996,1633235360,549996,0000,5A4F,1,1,3.291,GPS-3.0,5,0.185,0.191,0.429,0.968,1.542,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000004,220003491       ,2.4468615277,102.8344609308,28.5050487518,0.00000000,0.00000000,276.3977022750,19.680,0.626,-5.431,0.716,2021-10-03,04:29:21.100000,1633235361,100000,0000,5A4F,1,1,3.258,GPS-3.0,5,0.185,0.192,0.429,1.100,1.683,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000005,220003491       ,2.4468648945,102.8344336601,28.1524925232,0.00000000,0.00000000,277.3745559301,18.194,0.653,-5.012,0.582,2021-10-03,04:29:21.700130,1633235361,700130,0000,5A4F,1,1,3.053,GPS-3.0,5,0.186,0.192,0.430,0.968,1.542,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000006,220003491       ,2.4468675583,102.8344047017,27.9969978333,0.00000000,0.00000000,278.2257887460,15.979,0.491,-4.412,0.416,2021-10-03,04:29:22.350132,1633235362,350132,0000,5A4F,1,1,3.231,GPS-3.0,5,0.187,0.192,0.430,0.840,1.421,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000007,220003491       ,2.4468732167,102.8343770634,27.9010143280,0.00000000,0.00000000,282.7961142065,9.862,0.773,-2.628,0.175,2021-10-03,04:29:23.200280,1633235363,200280,0000,5A4F,1,1,3.134,GPS-3.0,5,0.187,0.192,0.431,0.968,1.542,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000008,220003491       ,2.4468880854,102.8343536616,27.6242885590,0.00000000,0.00000000,308.2260559582,6.451,1.289,-1.245,0.113,2021-10-03,04:29:25.000010,1633235365,000010,0000,5A4F,1,1,3.081,GPS-3.0,5,0.189,0.192,0.432,1.016,1.690,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000009,220003491       ,2.4469145893,102.8343466876,27.4570884705,0.00000000,0.00000000,340.3011980365,8.779,2.426,-0.247,0.079,2021-10-03,04:29:26.450016,1633235366,450016,0000,5A4F,1,1,3.047,GPS-3.0,5,0.190,0.191,0.432,1.395,1.880,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000010,220003491       ,2.4469421908,102.8343435081,27.3334960938,0.00000000,0.00000000,349.2937704562,13.945,3.824,-0.615,0.212,2021-10-03,04:29:27.400001,1633235367,400001,0000,5A4F,1,1,3.089,GPS-3.0,5,0.191,0.191,0.432,0.968,1.541,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000011,220003491       ,2.4469706461,102.8343401188,26.9973506927,0.00000000,0.00000000,350.8496875491,15.545,4.287,-0.514,0.460,2021-10-03,04:29:28.149995,1633235368,149995,0000,5A4F,1,1,3.186,GPS-3.0,5,0.192,0.192,0.433,0.968,1.541,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000012,220003491       ,2.4469977407,102.8343361694,26.8449897766,0.00000000,0.00000000,352.3692680357,16.707,4.536,-0.982,0.449,2021-10-03,04:29:28.800001,1633235368,800001,0000,5A4F,1,1,3.045,GPS-3.0,5,0.192,0.192,0.433,0.968,1.541,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000013,220003491       ,2.4470263766,102.8343326053,26.5647525787,0.00000000,0.00000000,353.1348776001,17.438,4.829,-0.375,0.470,2021-10-03,04:29:29.449995,1633235369,449995,0000,5A4F,1,1,3.209,GPS-3.0,5,0.192,0.192,0.434,0.968,1.541,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000014,220003491       ,2.4470544335,102.8343298630,26.3427867889,0.00000000,0.00000000,354.3958124832,15.414,4.241,-0.586,0.487,2021-10-03,04:29:30.099998,1633235370,099998,0000,5A4F,1,1,3.135,GPS-3.0,5,0.192,0.192,0.434,0.968,1.541,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000015,220003491       ,2.4470822261,102.8343289466,26.0843868256,0.00000000,0.00000000,357.1786227963,16.093,4.470,-0.013,0.425,2021-10-03,04:29:30.800145,1633235370,800145,0000,5A4F,1,1,3.092,GPS-3.0,5,0.192,0.192,0.434,0.968,1.541,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-122919-000000016,220003491       ,2.4471105404,102.8343287879,25.8087844849,0.00000000,0.00000000,358.7580630608,17.859,4.961,-0.007,0.510,2021-10-03,04:29:31.450142,1633235371,450142,0000,5A4F,1,1,3.148,GPS-3.0,5,0.191,0.191,0.435,0.968,1.541,0,4,11,4,0,0,2,,,,,,,,,,,0,000000,,,,,
