#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-123748-000000001,220003491       ,2.4443230878,102.8317145746,33.2710456848,0.00000000,0.00000000,77.3194421216,30.060,1.722,8.171,0.210,2021-10-03,04:37:47.950058,1633235867,950058,0000,5A2F,1,1,0.000,GPS-3.0,5,0.262,0.286,0.586,1.044,1.436,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000002,220003491       ,2.4443299956,102.8317433825,33.3167381287,0.00000000,0.00000000,76.8248954446,28.419,2.085,7.614,0.103,2021-10-03,04:37:48.349996,1633235868,349996,0000,5A2F,1,1,3.291,GPS-3.0,5,0.261,0.286,0.586,1.100,1.546,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000003,220003491       ,2.4443367109,102.8317705305,33.3590240479,0.00000000,0.00000000,76.5497754248,26.529,2.096,7.065,0.110,2021-10-03,04:37:48.749996,1633235868,749996,0000,5A2F,1,1,3.107,GPS-3.0,5,0.261,0.286,0.585,1.044,1.436,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000004,220003491       ,2.4443434343,102.8317979781,33.3971214294,0.00000000,0.00000000,76.5116014976,23.633,1.742,6.329,0.093,2021-10-03,04:37:49.200002,1633235869,200002,0000,5A2F,1,1,3.140,GPS-3.0,5,0.261,0.286,0.585,1.100,1.545,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000005,220003491       ,2.4443500841,102.8318263656,33.4886322021,0.00000000,0.00000000,77.3000102335,22.656,1.505,6.111,-0.040,2021-10-03,04:37:49.699999,1633235869,699999,0000,5A2F,1,1,3.239,GPS-3.0,5,0.260,0.286,0.584,1.044,1.436,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000006,220003491       ,2.4443567132,102.8318550533,33.5095672607,0.00000000,0.00000000,78.2287247153,19.707,1.658,5.217,0.038,2021-10-03,04:37:50.249996,1633235870,249996,0000,5A2F,1,1,3.271,GPS-3.0,5,0.260,0.285,0.584,1.044,1.436,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000007,220003491       ,2.4443639413,102.8318824459,33.3827629089,0.00000000,0.00000000,80.5115788416,16.793,1.366,4.460,0.132,2021-10-03,04:37:50.850027,1633235870,850027,0000,5A2F,1,1,3.147,GPS-3.0,5,0.260,0.285,0.583,0.878,1.314,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000008,220003491       ,2.4443695180,102.8319092623,33.1581726074,0.00000000,0.00000000,89.4007558576,11.999,0.381,3.311,0.189,2021-10-03,04:37:51.600003,1633235871,600003,0000,5A2F,1,1,3.043,GPS-3.0,5,0.261,0.285,0.583,0.842,1.284,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000009,220003491       ,2.4443668443,102.8319369356,33.0733985901,0.00000000,0.00000000,112.6977046637,7.370,-0.444,1.998,0.157,2021-10-03,04:37:52.800037,1633235872,800037,0000,5A2F,1,1,3.089,GPS-3.0,5,0.264,0.288,0.585,0.968,1.430,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000010,220003491       ,2.4443413659,102.8319458787,33.4406356812,0.00000000,0.00000000,149.2558345735,10.261,-2.781,0.624,-0.105,2021-10-03,04:37:54.200002,1633235874,200002,0000,5A2F,1,1,3.002,GPS-3.0,5,0.264,0.288,0.585,1.133,1.511,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000011,220003491       ,2.4443140791,102.8319444044,33.6325759888,0.00000000,0.00000000,184.9956600094,12.065,-3.231,-0.889,0.038,2021-10-03,04:37:55.249995,1633235875,249995,0000,5A2F,1,1,3.039,GPS-3.0,5,0.264,0.288,0.586,0.943,1.386,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000012,220003491       ,2.4442908558,102.8319286605,33.4376945496,0.00000000,0.00000000,209.5160801109,10.727,-2.346,-1.837,0.070,2021-10-03,04:37:56.149995,1633235876,149995,0000,5A2F,1,1,3.119,GPS-3.0,5,0.264,0.288,0.585,0.818,1.307,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000013,220003491       ,2.4442761443,102.8319053867,33.2150268555,0.00000000,0.00000000,236.2272287471,12.641,-1.360,-3.237,0.188,2021-10-03,04:37:57.150169,1633235877,150169,0000,5A2F,1,1,3.060,GPS-3.0,5,0.263,0.288,0.585,0.818,1.307,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000014,220003491       ,2.4442688375,102.8318777616,32.6698265076,0.00000000,0.00000000,257.0492243565,14.018,-0.438,-3.869,0.472,2021-10-03,04:37:58.049995,1633235878,049995,0000,5A2F,1,1,3.175,GPS-3.0,5,0.263,0.287,0.585,0.758,1.237,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000015,220003491       ,2.4442664407,102.8318487265,32.5023193359,0.00000000,0.00000000,264.5299480638,17.612,-0.353,-4.880,0.227,2021-10-03,04:37:58.800001,1633235878,800001,0000,5A2F,1,1,3.237,GPS-3.0,5,0.263,0.287,0.585,0.818,1.238,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000016,220003491       ,2.4442636297,102.8318198467,32.4738693237,0.00000000,0.00000000,264.1172133926,17.031,-0.295,-4.722,0.159,2021-10-03,04:37:59.449995,1633235879,449995,0000,5A2F,1,1,3.224,GPS-3.0,5,0.263,0.287,0.584,0.926,1.284,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000017,220003491       ,2.4442609048,102.8317928497,32.2988662720,0.00000000,0.00000000,264.5392098003,14.679,-0.685,-4.020,0.156,2021-10-03,04:38:00.149995,1633235880,149995,0000,5A2F,1,1,3.014,GPS-3.0,5,0.262,0.287,0.584,0.982,1.329,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123748-000000018,220003491       ,2.4442577275,102.8317657681,32.3671646118,0.00000000,0.00000000,263.9033738301,9.342,-0.317,-2.576,0.077,2021-10-03,04:38:01.050187,1633235881,050187,0000,5A2F,1,1,3.029,GPS-3.0,5,0.261,0.286,0.583,0.921,1.321,0,2,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
