#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-122720-000000001,220003491       ,2.4471158927,102.8370722986,32.8140449524,0.00000000,0.00000000,286.2993728733,10.494,1.592,-2.442,0.075,2021-10-03,04:27:22.950062,1633235242,950062,0000,5A6F,1,1,0.000,GPS-3.0,5,0.194,0.240,0.458,1.734,2.465,0,6,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000002,220003491       ,2.4471344131,102.8370508806,32.7640457153,0.00000000,0.00000000,312.3179676484,10.354,1.726,-2.301,0.259,2021-10-03,04:27:24.000010,1633235244,000010,0000,5A4F,1,1,3.147,GPS-3.0,5,0.189,0.236,0.454,1.417,1.914,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000003,220003491       ,2.4471572091,102.8370354855,32.8055496216,0.00000000,0.00000000,328.3170574018,11.479,2.958,-1.191,0.102,2021-10-03,04:27:24.949995,1633235244,949995,0000,5A4F,1,1,3.058,GPS-3.0,5,0.183,0.229,0.452,0.969,1.557,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000004,220003491       ,2.4471838601,102.8370273221,32.7758941650,0.00000000,0.00000000,344.7019708810,12.258,3.356,-0.577,0.135,2021-10-03,04:27:25.899999,1633235245,899999,0000,5A4F,1,1,3.099,GPS-3.0,5,0.179,0.223,0.451,0.969,1.557,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000005,220003491       ,2.4472113518,102.8370279644,32.5301818848,0.00000000,0.00000000,1.3934997835,12.929,3.547,0.566,0.288,2021-10-03,04:27:26.800004,1633235246,800004,0000,5A4F,1,1,3.058,GPS-3.0,5,0.178,0.221,0.452,1.096,1.704,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000006,220003491       ,2.4472391668,102.8370339456,32.2110328674,0.00000000,0.00000000,12.9918932118,14.582,3.824,1.335,0.345,2021-10-03,04:27:27.649996,1633235247,649996,0000,5A4F,1,1,3.163,GPS-3.0,5,0.179,0.221,0.453,1.416,1.913,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000007,220003491       ,2.4472669773,102.8370414306,32.0333290100,0.00000000,0.00000000,15.2057786492,15.562,4.125,1.292,0.442,2021-10-03,04:27:28.400002,1633235248,400002,0000,5A4F,1,1,3.202,GPS-3.0,5,0.179,0.221,0.454,1.416,1.913,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000008,220003491       ,2.4472933180,102.8370493458,31.8358879089,0.00000000,0.00000000,17.0681902358,15.768,4.026,1.726,0.246,2021-10-03,04:27:29.100017,1633235249,100017,0000,5A4F,1,1,3.058,GPS-3.0,5,0.179,0.221,0.455,1.416,1.913,0,4,11,4,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000009,220003491       ,2.4473192964,102.8370586506,31.5743846893,0.00000000,0.00000000,18.6866599087,16.047,4.070,1.817,0.397,2021-10-03,04:27:29.800002,1633235249,800002,0000,5A4F,1,1,3.068,GPS-3.0,5,0.178,0.218,0.455,1.416,1.913,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-122720-000000010,220003491       ,2.4473455453,102.8370671048,31.4226837158,0.00000000,0.00000000,19.6577642521,14.186,3.691,1.380,0.390,2021-10-03,04:27:30.549996,1633235250,549996,0000,5A4F,1,1,3.066,GPS-3.0,5,0.176,0.213,0.452,1.416,1.913,0,4,11,4,0,0,3,,,,,,,,,,,0,000000,,,,,
