#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-121120-000000001,220003491       ,2.4353103324,102.8274783960,17.0955696106,0.00000000,0.00000000,16.6308532233,23.449,6.252,1.826,0.831,2021-10-03,04:11:20.449996,1633234280,449996,0000,5A4F,1,1,0.000,GPS-3.0,5,0.162,0.203,0.472,0.752,1.185,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000002,220003491       ,2.4353372685,102.8274859773,16.7275333405,0.00000000,0.00000000,16.5189149605,21.265,5.719,1.478,0.690,2021-10-03,04:11:20.950124,1633234280,950124,0000,5A4F,1,1,3.111,GPS-3.0,5,0.160,0.202,0.472,0.811,1.243,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000003,220003491       ,2.4353632875,102.8274935469,16.4761543274,0.00000000,0.00000000,17.3901141269,17.764,4.807,1.116,0.530,2021-10-03,04:11:21.500069,1633234281,500069,0000,5A4F,1,1,3.013,GPS-3.0,5,0.157,0.201,0.472,0.752,1.185,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000004,220003491       ,2.4353895143,102.8275036550,16.3265705109,0.00000000,0.00000000,21.6354643093,14.604,3.680,1.706,0.281,2021-10-03,04:11:22.200006,1633234282,200006,0000,5A4F,1,1,3.125,GPS-3.0,5,0.154,0.200,0.473,0.752,1.185,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000005,220003491       ,2.4354117930,102.8275203809,16.1992206573,0.00000000,0.00000000,35.5051811172,11.408,1.841,2.579,0.309,2021-10-03,04:11:23.100007,1633234283,100007,0000,5A4F,1,1,3.097,GPS-3.0,5,0.149,0.198,0.472,0.752,1.185,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000006,220003491       ,2.4354240295,102.8275451206,15.8850202560,0.00000000,0.00000000,61.6460567691,9.319,0.628,2.511,0.245,2021-10-03,04:11:24.400003,1633234284,400003,0000,5A4F,1,1,3.067,GPS-3.0,5,0.144,0.195,0.470,0.850,1.238,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000007,220003491       ,2.4354238299,102.8275729715,15.6428050995,0.00000000,0.00000000,85.5704677334,12.046,-0.134,3.344,0.322,2021-10-03,04:11:25.500225,1633234285,500225,0000,5A4F,1,1,3.094,GPS-3.0,5,0.144,0.194,0.468,0.949,1.248,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000008,220003491       ,2.4354235271,102.8275999878,15.4527187347,0.00000000,0.00000000,89.5184878284,14.264,-0.312,3.950,0.404,2021-10-03,04:11:26.349996,1633234286,349996,0000,5A4F,1,1,3.002,GPS-3.0,5,0.144,0.194,0.465,0.752,1.185,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000009,220003491       ,2.4354242921,102.8276272650,15.0640544891,0.00000000,0.00000000,86.6995048334,14.025,-0.316,3.883,0.480,2021-10-03,04:11:27.150013,1633234287,150013,0000,5A4F,1,1,3.032,GPS-3.0,5,0.144,0.194,0.463,0.752,1.184,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-121120-000000010,220003491       ,2.4354260844,102.8276549853,14.6337423325,0.00000000,0.00000000,82.4399119990,12.236,0.347,3.381,0.445,2021-10-03,04:11:28.000221,1633234288,000221,0000,5A4F,1,1,3.086,GPS-3.0,5,0.147,0.196,0.466,0.850,1.238,0,4,10,5,0,0,3,,,,,,,,,,,0,000000,,,,,
