#0:imgID,1:camSN,2:lat,3:lon,4:height,5:roll,6:pitch,7:heading,8:speed,9:speed_n,10:speed_e,11:speed_d,12:date,13:time,14:unix_time_sec,15:unix_time_microsec,16:systemStatus,17:filterStatus,18:haveFix,19:extVelocity,20:distancetoprevious,21:releaseMode,22:device_id,23:lat_dev,24:lon_dev,25:hei_dev,26:hdop,27:vdop,28:fs_10,29:gnss_fix_status,30:gps_sat,31:glonass_sat,32:beidu_sat,33:gal_sat,34:sbas_sat,35:custLog0,36:custLog1,37:custLog2,38:custLog3,39:custLog4,40:custLog5,41:custLog6,42:custLog7,43:custLog8,44:custLog9,45:unix_time_sec_fixed,46:unix_time_microsec_fixed,47:pnvgbss_field3,48:pnvgbss_field4,49:pnvgbss_field5,50:pnvgbss_field6,51:pnvgbss_field7
003491-20211003-123158-000000001,220003491       ,2.4460161856,102.8329276504,30.0689373016,0.00000000,0.00000000,359.1420289751,13.951,3.840,-0.523,0.541,2021-10-03,04:31:58.500005,1633235518,500005,0000,5A4F,1,1,0.000,GPS-3.0,5,0.147,0.155,0.340,0.873,1.397,0,4,11,5,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000002,220003491       ,2.4460439857,102.8329270833,29.6747722626,0.00000000,0.00000000,358.0861363710,12.862,3.572,0.054,0.463,2021-10-03,04:31:59.300000,1633235519,300000,0000,5A4F,1,1,3.092,GPS-3.0,5,0.147,0.154,0.340,0.838,1.323,0,4,11,5,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000003,220003491       ,2.4460715475,102.8329268756,29.3702373505,0.00000000,0.00000000,358.1232652793,12.429,3.449,-0.162,0.358,2021-10-03,04:32:00.249996,1633235520,249996,0000,5A4F,1,1,3.065,GPS-3.0,5,0.147,0.153,0.341,0.752,1.260,0,4,11,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000004,220003491       ,2.4460987226,102.8329242226,28.9076385498,0.00000000,0.00000000,355.9494619533,9.527,2.646,0.051,0.482,2021-10-03,04:32:01.250003,1633235521,250003,0000,5A4F,1,1,3.036,GPS-3.0,5,0.146,0.152,0.343,0.838,1.322,0,4,11,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000005,220003491       ,2.4461240075,102.8329145378,28.4769687653,0.00000000,0.00000000,336.8384287310,6.578,1.461,-1.098,0.258,2021-10-03,04:32:02.849996,1633235522,849996,0000,5A4F,1,1,3.010,GPS-3.0,5,0.147,0.151,0.345,0.838,1.322,0,4,11,5,0,0,3,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000006,220003491       ,2.4461382028,102.8328910682,28.3672275543,0.00000000,0.00000000,301.9052349757,6.113,0.692,-1.551,0.184,2021-10-03,04:32:04.650239,1633235524,650239,0000,5A4F,1,1,3.048,GPS-3.0,5,0.144,0.148,0.345,0.951,1.338,0,4,11,5,0,0,2,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000007,220003491       ,2.4461390023,102.8328640631,28.2338180542,0.00000000,0.00000000,273.5847025257,7.050,-0.154,-1.952,0.104,2021-10-03,04:32:06.349995,1633235526,349995,0000,5A4F,1,1,3.001,GPS-3.0,5,0.141,0.145,0.344,0.801,1.278,0,4,10,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000008,220003491       ,2.4461344029,102.8328368765,28.3467369080,0.00000000,0.00000000,263.2603525009,11.820,-0.660,-3.216,0.066,2021-10-03,04:32:07.500000,1633235527,500000,0000,5A4F,1,1,3.063,GPS-3.0,5,0.136,0.143,0.340,0.951,1.338,0,4,11,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000009,220003491       ,2.4461305620,102.8328095884,28.5038509369,0.00000000,0.00000000,261.0125099243,14.457,-0.867,-3.921,0.111,2021-10-03,04:32:08.350094,1633235528,350094,0000,5A4F,1,1,3.061,GPS-3.0,5,0.131,0.141,0.335,0.815,1.261,0,4,11,5,0,0,4,,,,,,,,,,,0,000000,,,,,
003491-20211003-123158-000000010,220003491       ,2.4461247317,102.8327813786,28.6661510468,0.00000000,0.00000000,257.5629638651,14.219,-0.996,-3.822,-0.068,2021-10-03,04:32:09.150004,1633235529,150004,0000,5A4F,1,1,3.200,GPS-3.0,5,0.128,0.140,0.330,0.752,1.260,0,4,11,5,0,0,4,,,,,,,,,,,0,000000,,,,,
