filename,latitude,longitude,height,roll,pitch,heading,date,time,unix_time_sec,distancetoprevious
003491-20211011-130642-000000044,2.416773,102.736568,22.5388126373,0,0,143.5860945435,2021-10-11,13:07:23,1633928843,3.001
003491-20211011-130642-000000045,2.416752,102.736584,22.6580753326,0,0,143.2881890126,2021-10-11,13:07:24,1633928844,3.029
003491-20211011-130642-000000046,2.416729,102.736600,22.7185077667,0,0,143.908793661,2021-10-11,13:07:24,1633928844,3.126
003491-20211011-130642-000000047,2.416705,102.736617,22.8969039917,0,0,144.1346133753,2021-10-11,13:07:25,1633928845,3.203
003491-20211011-130642-000000048,2.416682,102.736635,23.0120868683,0,0,144.1324823563,2021-10-11,13:07:25,1633928845,3.253
003491-20211011-130642-000000049,2.416659,102.736651,23.26628685,0,0,144.6430663175,2021-10-11,13:07:26,1633928846,3.171
003491-20211011-130642-000000050,2.416635,102.736668,23.482383728,0,0,145.6894512984,2021-10-11,13:07:27,1633928847,3.164
003491-20211011-130642-000000051,2.416612,102.736683,23.7120456696,0,0,146.7508217143,2021-10-11,13:07:27,1633928847,3.123
003491-20211011-130642-000000052,2.416588,102.736699,23.8955821991,0,0,148.1418170595,2021-10-11,13:07:28,1633928848,3.13
003491-20211011-130642-000000053,2.416564,102.736713,24.1094093323,0,0,148.6574007192,2021-10-11,13:07:29,1633928849,3.103
003491-20211011-130642-000000054,2.416541,102.736728,24.222240448,0,0,146.4473564094,2021-10-11,13:07:30,1633928850,3.097
003491-20211011-130642-000000055,2.416519,102.736745,24.4619121552,0,0,144.374380336,2021-10-11,13:07:31,1633928851,3.066
003491-20211011-130642-000000056,2.416496,102.736761,24.6767234802,0,0,143.2799654649,2021-10-11,13:07:32,1633928852,3.144
003491-20211011-130642-000000057,2.416474,102.736779,24.963558197,0,0,142.9911850668,2021-10-11,13:07:33,1633928853,3.16
003491-20211011-130642-000000058,2.416450,102.736796,25.167011261,0,0,143.6266931879,2021-10-11,13:07:34,1633928854,3.192
003491-20211011-130642-000000059,2.416427,102.736813,25.3877353668,0,0,144.0994925426,2021-10-11,13:07:34,1633928854,3.244
